Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,5098,491,1342.76,62085990,104.61,0,0.0000,2844553280982,0.46,234.85
Proposed,5098,407,1308.79,63360100,68.02,0,0.0000,2844553280982,0.48,278.52
MigrationFFD,5098,530,1397.07,72803874,155.78,30341,0.0009,2839293900008,0.40,226.74
MigrationPABFD,5098,540,1358.79,67104472,112.11,1546,0.0001,2842817263636,0.46,216.80
TSC2019,5098,430,1333.06,65094290,95.98,27,0.0000,2843673717746,0.46,268.35
MigrationProposed,5098,414,1309.33,63728712,67.80,316,0.0000,2842516544298,0.48,272.75
