Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,2495,240,668.15,30418102,52.42,0,0.0000,1389186791898,0.46,238.82
Proposed,2495,237,652.19,32846328,43.58,0,0.0000,1389186791898,0.48,236.57
MigrationFFD,2495,259,689.36,35673410,78.02,14663,0.0009,1386472437455,0.41,230.43
MigrationPABFD,2495,269,671.04,33191918,59.61,972,0.0001,1387884493530,0.46,215.83
TSC2019,2495,242,656.20,32787034,57.01,33,0.0000,1389102393141,0.47,233.76
MigrationProposed,2495,249,669.59,31743928,53.29,746,0.0000,1384919332331,0.46,228.93
