Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,5098,491,1340.72,61766344,105.65,0,0.0000,2844553280982,0.46,234.76
Proposed,5098,407,1308.79,63075736,68.02,0,0.0000,2844553280982,0.48,278.52
MigrationFFD,5098,525,1391.76,72630424,155.91,29272,0.0008,2839597469381,0.40,229.12
MigrationPABFD,5098,540,1358.79,66882102,112.11,1546,0.0001,2842817264680,0.46,216.80
TSC2019,5098,430,1333.06,65208136,95.98,27,0.0000,2843673717746,0.46,268.35
MigrationProposed,5098,421,1306.05,64331632,68.66,319,0.0000,2841830908207,0.48,267.54
