Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,2495,240,667.84,29873576,54.82,0,0.0000,1389186791898,0.46,239.56
Proposed,2495,237,652.19,32960642,43.58,0,0.0000,1389186791898,0.48,236.57
MigrationFFD,2495,266,691.64,36054240,81.02,17435,0.0010,1386378195925,0.41,224.32
MigrationPABFD,2495,269,671.04,33125742,59.61,972,0.0001,1387884493530,0.46,215.83
TSC2019,2495,242,656.20,32591780,57.01,33,0.0000,1389102393141,0.47,233.76
MigrationProposed,2495,240,666.15,30845030,50.16,775,0.0000,1384622030295,0.46,235.15
