Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,3553,353,991.15,45520414,76.06,0,0.0000,2068066497965,0.45,231.09
Proposed,3553,317,959.59,47131326,53.57,0,0.0000,2068066497965,0.47,250.04
MigrationFFD,3553,372,1017.95,52451606,108.70,22444,0.0009,2063619801544,0.40,226.82
MigrationPABFD,3553,383,998.56,48847504,80.13,1093,0.0001,2066321558927,0.45,214.46
TSC2019,3553,330,978.33,48921122,74.64,63,0.0000,2067835583603,0.45,243.89
MigrationProposed,3553,318,957.57,47923298,52.74,241,0.0000,2066298885859,0.47,247.51
