Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,3553,354,985.41,45064216,75.25,0,0.0000,2068066497965,0.45,229.18
Proposed,3553,317,959.59,47046916,53.57,0,0.0000,2068066497965,0.47,250.04
MigrationFFD,3553,376,1038.92,52770184,114.24,30420,0.0011,2063545753345,0.39,226.85
MigrationPABFD,3553,383,998.56,48931318,80.13,1093,0.0001,2066321558927,0.45,214.46
TSC2019,3553,330,978.33,48982140,74.64,63,0.0000,2067835583603,0.45,243.89
MigrationProposed,3553,320,960.43,47501636,53.20,248,0.0000,2066835777269,0.47,246.93
