Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,2495,238,672.12,29893940,53.08,0,0.0000,1389186791898,0.46,242.87
Proposed,2495,237,652.19,33045730,43.58,0,0.0000,1389186791898,0.48,236.57
MigrationFFD,2495,263,695.77,35233748,78.31,15742,0.0009,1386653956591,0.41,228.32
MigrationPABFD,2495,269,671.04,33116484,59.61,972,0.0001,1387884493530,0.46,215.83
TSC2019,2495,242,656.20,32706974,57.01,33,0.0000,1389102393141,0.47,233.76
MigrationProposed,2495,243,664.67,30142278,50.42,772,0.0000,1383753699849,0.47,231.76
