Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,5098,496,1355.51,61757110,106.82,0,0.0000,2844553280982,0.45,233.73
Proposed,5098,407,1308.79,63148294,68.02,0,0.0000,2844553280982,0.48,278.52
MigrationFFD,5098,530,1385.86,72812316,156.48,32015,0.0009,2840226122600,0.40,225.82
MigrationPABFD,5098,540,1358.79,67234560,112.11,1546,0.0001,2842817264680,0.46,216.80
TSC2019,5098,430,1333.06,65201698,95.98,27,0.0000,2843673717746,0.46,268.35
MigrationProposed,5098,412,1300.52,65136246,67.97,271,0.0000,2842283586549,0.48,271.78
