Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,5098,498,1347.02,62219376,107.28,0,0.0000,2844553280982,0.46,233.18
Proposed,5098,407,1308.79,63239792,68.02,0,0.0000,2844553280982,0.48,278.52
MigrationFFD,5098,527,1397.83,72706450,153.98,30752,0.0008,2839442096324,0.40,227.38
MigrationPABFD,5098,540,1358.79,66826080,112.11,1546,0.0001,2842817264680,0.46,216.80
TSC2019,5098,430,1333.06,65223380,95.98,27,0.0000,2843673717746,0.46,268.35
MigrationProposed,5098,413,1303.91,64286806,67.13,286,0.0000,2842624729861,0.48,272.23
