Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,2495,238,667.29,29975914,52.33,0,0.0000,1389186791898,0.46,242.12
Proposed,2495,237,652.19,32925038,43.58,0,0.0000,1389186791898,0.48,236.57
MigrationFFD,2495,259,683.82,35574696,76.11,13971,0.0007,1386446082093,0.41,227.26
MigrationPABFD,2495,269,671.04,33207490,59.61,972,0.0001,1387884493530,0.46,215.83
TSC2019,2495,242,656.20,32654516,57.01,33,0.0000,1389102393141,0.47,233.76
MigrationProposed,2495,247,662.07,30928416,50.80,674,0.0000,1384357076585,0.46,228.78
