Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,3553,348,986.72,45285640,73.76,0,0.0000,2068066497965,0.45,232.37
Proposed,3553,317,959.59,47009060,53.57,0,0.0000,2068066497965,0.47,250.04
MigrationFFD,3553,383,1030.90,53002728,115.29,27975,0.0011,2063792239727,0.40,221.98
MigrationPABFD,3553,383,998.56,49127846,80.13,1093,0.0001,2066321558927,0.45,214.46
TSC2019,3553,330,978.33,48749182,74.64,63,0.0000,2067835583603,0.45,243.89
MigrationProposed,3553,335,977.02,46937620,64.09,1169,0.0001,2059305283185,0.45,237.67
