Algorithm,Vms,ActiveHosts,EnergyCost(KWH),TrafficCost,ResourceWastage,Migrations,averageSlavRate,FinishedCloudletLength,AverageCpuUtilization,RealTimePower
JSA2021,3553,348,991.52,45040376,73.48,0,0.0000,2068066497965,0.45,234.26
Proposed,3553,317,959.59,47075192,53.57,0,0.0000,2068066497965,0.47,250.04
MigrationFFD,3553,379,1033.94,52487294,113.58,25859,0.0010,2063114689162,0.40,224.95
MigrationPABFD,3553,383,998.56,48962058,80.13,1093,0.0001,2066321558927,0.45,214.46
TSC2019,3553,330,978.33,49017946,74.64,63,0.0000,2067835583603,0.45,243.89
MigrationProposed,3553,321,954.46,48260300,52.96,213,0.0000,2066320830465,0.47,245.14
